STATES/Uts,CRIME TYPE,CASES,YEAR,,,
Total (State),Dowry Prohibition Act,10680,2013,,,
A&N Islands,Dowry Prohibition Act,0,2013,,,
Chandigarh,Dowry Prohibition Act,0,2013,,,
D&N Haveli,Dowry Prohibition Act,0,2013,,,
Daman & Diu,Dowry Prohibition Act,0,2013,,,
Delhi UT,Dowry Prohibition Act,15,2013,,,
Lakshadweep,Dowry Prohibition Act,0,2013,,,
Puducherry,Dowry Prohibition Act,14,2013,,,
Total (UTs),Dowry Prohibition Act,29,2013,,,
Total (All-India),Dowry Prohibition Act,10709,2013,,,
Andhra Pradesh,Immoral Traffic (P) Act,489,2013,,,
Arunachal Pradesh,Immoral Traffic (P) Act,2,2013,,,
Assam,Immoral Traffic (P) Act,18,2013,,,
Bihar,Immoral Traffic (P) Act,64,2013,,,
Chhattisgarh,Immoral Traffic (P) Act,8,2013,,,
Goa,Immoral Traffic (P) Act,28,2013,,,
Gujarat,Immoral Traffic (P) Act,76,2013,,,
Haryana,Immoral Traffic (P) Act,63,2013,,,
Himachal Pradesh,Immoral Traffic (P) Act,4,2013,,,
Jammu & Kashmir,Immoral Traffic (P) Act,1,2013,,,
Jharkhand,Immoral Traffic (P) Act,11,2013,,,
Karnataka,Immoral Traffic (P) Act,340,2013,,,
Kerala,Immoral Traffic (P) Act,180,2013,,,
Madhya Pradesh,Immoral Traffic (P) Act,22,2013,,,
Maharashtra,Immoral Traffic (P) Act,289,2013,,,
Manipur,Immoral Traffic (P) Act,0,2013,,,
Meghalaya,Immoral Traffic (P) Act,4,2013,,,
Mizoram,Immoral Traffic (P) Act,0,2013,,,
Nagaland,Immoral Traffic (P) Act,1,2013,,,
Odisha,Immoral Traffic (P) Act,27,2013,,,
Punjab,Immoral Traffic (P) Act,137,2013,,,
Rajasthan,Immoral Traffic (P) Act,74,2013,,,
Sikkim,Immoral Traffic (P) Act,0,2013,,,
Tamil Nadu,Immoral Traffic (P) Act,549,2013,,,
Tripura,Immoral Traffic (P) Act,0,2013,,,
Uttar Pradesh,Immoral Traffic (P) Act,37,2013,,,
Uttarakhand,Immoral Traffic (P) Act,13,2013,,,
West Bengal,Immoral Traffic (P) Act,104,2013,,,
Total (State),Immoral Traffic (P) Act,2541,2013,,,
A&N Islands,Immoral Traffic (P) Act,4,2013,,,
Chandigarh,Immoral Traffic (P) Act,6,2013,,,
D&N Haveli,Immoral Traffic (P) Act,2,2013,,,
Daman & Diu,Immoral Traffic (P) Act,6,2013,,,
Delhi UT,Immoral Traffic (P) Act,20,2013,,,
Lakshadweep,Immoral Traffic (P) Act,0,2013,,,
Puducherry,Immoral Traffic (P) Act,0,2013,,,
Total (UTs),Immoral Traffic (P) Act,38,2013,,,
Total (All-India),Immoral Traffic (P) Act,2579,2013,,,
Andhra Pradesh,Importation of Girls from Foreign Country,0,2013,,,
Arunachal Pradesh,Importation of Girls from Foreign Country,0,2013,,,
Assam,Importation of Girls from Foreign Country,2,2013,,,
Bihar,Importation of Girls from Foreign Country,7,2013,,,
Chhattisgarh,Importation of Girls from Foreign Country,1,2013,,,
Goa,Importation of Girls from Foreign Country,0,2013,,,
Gujarat,Importation of Girls from Foreign Country,0,2013,,,
Haryana,Importation of Girls from Foreign Country,2,2013,,,
Himachal Pradesh,Importation of Girls from Foreign Country,0,2013,,,
Jammu & Kashmir,Importation of Girls from Foreign Country,0,2013,,,
Jharkhand,Importation of Girls from Foreign Country,2,2013,,,
Karnataka,Importation of Girls from Foreign Country,0,2013,,,
Kerala,Importation of Girls from Foreign Country,0,2013,,,
Madhya Pradesh,Importation of Girls from Foreign Country,7,2013,,,
Maharashtra,Importation of Girls from Foreign Country,0,2013,,,
Manipur,Importation of Girls from Foreign Country,0,2013,,,
Meghalaya,Importation of Girls from Foreign Country,0,2013,,,
Mizoram,Importation of Girls from Foreign Country,0,2013,,,
Nagaland,Importation of Girls from Foreign Country,0,2013,,,
Odisha,Importation of Girls from Foreign Country,0,2013,,,
Punjab,Importation of Girls from Foreign Country,0,2013,,,
Rajasthan,Importation of Girls from Foreign Country,1,2013,,,
Sikkim,Importation of Girls from Foreign Country,0,2013,,,
Tamil Nadu,Importation of Girls from Foreign Country,0,2013,,,
Tripura,Importation of Girls from Foreign Country,0,2013,,,
Uttar Pradesh,Importation of Girls from Foreign Country,0,2013,,,
Uttarakhand,Importation of Girls from Foreign Country,0,2013,,,
West Bengal,Importation of Girls from Foreign Country,9,2013,,,
Total (State),Importation of Girls from Foreign Country,31,2013,,,
A&N Islands,Importation of Girls from Foreign Country,0,2013,,,
Chandigarh,Importation of Girls from Foreign Country,0,2013,,,
D&N Haveli,Importation of Girls from Foreign Country,0,2013,,,
Daman & Diu,Importation of Girls from Foreign Country,0,2013,,,
Delhi UT,Importation of Girls from Foreign Country,0,2013,,,
Lakshadweep,Importation of Girls from Foreign Country,0,2013,,,
Puducherry,Importation of Girls from Foreign Country,0,2013,,,
Total (UTs),Importation of Girls from Foreign Country,0,2013,,,
Total (All-India),Importation of Girls from Foreign Country,31,2013,,,
Andhra Pradesh,Indecent Representation of Women (P) Act,251,2013,,,
Arunachal Pradesh,Indecent Representation of Women (P) Act,0,2013,,,
Assam,Indecent Representation of Women (P) Act,1,2013,,,
Bihar,Indecent Representation of Women (P) Act,0,2013,,,
Chhattisgarh,Indecent Representation of Women (P) Act,0,2013,,,
Goa,Indecent Representation of Women (P) Act,0,2013,,,
Gujarat,Indecent Representation of Women (P) Act,0,2013,,,
Haryana,Indecent Representation of Women (P) Act,0,2013,,,
Himachal Pradesh,Indecent Representation of Women (P) Act,0,2013,,,
Jammu & Kashmir,Indecent Representation of Women (P) Act,0,2013,,,
Jharkhand,Indecent Representation of Women (P) Act,2,2013,,,
Karnataka,Indecent Representation of Women (P) Act,2,2013,,,
Kerala,Indecent Representation of Women (P) Act,20,2013,,,
Madhya Pradesh,Indecent Representation of Women (P) Act,0,2013,,,
Maharashtra,Indecent Representation of Women (P) Act,0,2013,,,
Manipur,Indecent Representation of Women (P) Act,0,2013,,,
Meghalaya,Indecent Representation of Women (P) Act,0,2013,,,
Mizoram,Indecent Representation of Women (P) Act,0,2013,,,
Nagaland,Indecent Representation of Women (P) Act,0,2013,,,
Odisha,Indecent Representation of Women (P) Act,2,2013,,,
Punjab,Indecent Representation of Women (P) Act,0,2013,,,
Rajasthan,Indecent Representation of Women (P) Act,68,2013,,,
Sikkim,Indecent Representation of Women (P) Act,0,2013,,,
Tamil Nadu,Indecent Representation of Women (P) Act,9,2013,,,
Tripura,Indecent Representation of Women (P) Act,0,2013,,,
Uttar Pradesh,Indecent Representation of Women (P) Act,1,2013,,,
Uttarakhand,Indecent Representation of Women (P) Act,0,2013,,,
West Bengal,Indecent Representation of Women (P) Act,4,2013,,,
Total (State),Indecent Representation of Women (P) Act,360,2013,,,
A&N Islands,Indecent Representation of Women (P) Act,0,2013,,,
Chandigarh,Indecent Representation of Women (P) Act,1,2013,,,
D&N Haveli,Indecent Representation of Women (P) Act,0,2013,,,
Daman & Diu,Indecent Representation of Women (P) Act,0,2013,,,
Delhi UT,Indecent Representation of Women (P) Act,0,2013,,,
Lakshadweep,Indecent Representation of Women (P) Act,0,2013,,,
Puducherry,Indecent Representation of Women (P) Act,1,2013,,,
Total (UTs),Indecent Representation of Women (P) Act,2,2013,,,
Total (All-India),Indecent Representation of Women (P) Act,362,2013,,,
Andhra Pradesh,Insult to the modesty of Women,4702,2013,,,
Arunachal Pradesh,Insult to the modesty of Women,3,2013,,,
Assam,Insult to the modesty of Women,14,2013,,,
Bihar,Insult to the modesty of Women,52,2013,,,
Chhattisgarh,Insult to the modesty of Women,180,2013,,,
Goa,Insult to the modesty of Women,54,2013,,,
Gujarat,Insult to the modesty of Women,77,2013,,,
Haryana,Insult to the modesty of Women,643,2013,,,
Himachal Pradesh,Insult to the modesty of Women,111,2013,,,
Jammu & Kashmir,Insult to the modesty of Women,354,2013,,,
Jharkhand,Insult to the modesty of Women,18,2013,,,
Karnataka,Insult to the modesty of Women,137,2013,,,
Kerala,Insult to the modesty of Women,404,2013,,,
Madhya Pradesh,Insult to the modesty of Women,736,2013,,,
Maharashtra,Insult to the modesty of Women,2632,2013,,,
Manipur,Insult to the modesty of Women,0,2013,,,
Meghalaya,Insult to the modesty of Women,0,2013,,,
Mizoram,Insult to the modesty of Women,0,2013,,,
Nagaland,Insult to the modesty of Women,1,2013,,,
Odisha,Insult to the modesty of Women,426,2013,,,
Punjab,Insult to the modesty of Women,67,2013,,,
Rajasthan,Insult to the modesty of Women,25,2013,,,
Sikkim,Insult to the modesty of Women,0,2013,,,
Tamil Nadu,Insult to the modesty of Women,313,2013,,,
Tripura,Insult to the modesty of Women,7,2013,,,
Uttar Pradesh,Insult to the modesty of Women,25,2013,,,
Uttarakhand,Insult to the modesty of Women,72,2013,,,
West Bengal,Insult to the modesty of Women,577,2013,,,
Total (State),Insult to the modesty of Women,11630,2013,,,
A&N Islands,Insult to the modesty of Women,8,2013,,,
Chandigarh,Insult to the modesty of Women,26,2013,,,
D&N Haveli,Insult to the modesty of Women,1,2013,,,
Daman & Diu,Insult to the modesty of Women,0,2013,,,
Delhi UT,Insult to the modesty of Women,916,2013,,,
Lakshadweep,Insult to the modesty of Women,0,2013,,,
Puducherry,Insult to the modesty of Women,8,2013,,,
Total (UTs),Insult to the modesty of Women,959,2013,,,
Total (All-India),Insult to the modesty of Women,12589,2013,,,
Andhra Pradesh,Kidnapping & Abduction of Women & Grils,1595,2013,,,
Arunachal Pradesh,Kidnapping & Abduction of Women & Grils,86,2013,,,
Assam,Kidnapping & Abduction of Women & Grils,4222,2013,,,
Bihar,Kidnapping & Abduction of Women & Grils,4419,2013,,,
Chhattisgarh,Kidnapping & Abduction of Women & Grils,1881,2013,,,
Goa,Kidnapping & Abduction of Women & Grils,70,2013,,,
Gujarat,Kidnapping & Abduction of Women & Grils,2230,2013,,,
Haryana,Kidnapping & Abduction of Women & Grils,1957,2013,,,
Himachal Pradesh,Kidnapping & Abduction of Women & Grils,290,2013,,,
Jammu & Kashmir,Kidnapping & Abduction of Women & Grils,949,2013,,,
Jharkhand,Kidnapping & Abduction of Women & Grils,926,2013,,,
Karnataka,Kidnapping & Abduction of Women & Grils,1359,2013,,,
Kerala,Kidnapping & Abduction of Women & Grils,185,2013,,,
Madhya Pradesh,Kidnapping & Abduction of Women & Grils,2873,2013,,,
Maharashtra,Kidnapping & Abduction of Women & Grils,1874,2013,,,
Manipur,Kidnapping & Abduction of Women & Grils,125,2013,,,
Meghalaya,Kidnapping & Abduction of Women & Grils,33,2013,,,
Mizoram,Kidnapping & Abduction of Women & Grils,2,2013,,,
Nagaland,Kidnapping & Abduction of Women & Grils,11,2013,,,
Odisha,Kidnapping & Abduction of Women & Grils,2067,2013,,,
Punjab,Kidnapping & Abduction of Women & Grils,987,2013,,,
Rajasthan,Kidnapping & Abduction of Women & Grils,4047,2013,,,
Sikkim,Kidnapping & Abduction of Women & Grils,16,2013,,,
Tamil Nadu,Kidnapping & Abduction of Women & Grils,1516,2013,,,
Tripura,Kidnapping & Abduction of Women & Grils,124,2013,,,
Uttar Pradesh,Kidnapping & Abduction of Women & Grils,9737,2013,,,
Uttarakhand,Kidnapping & Abduction of Women & Grils,633,2013,,,
West Bengal,Kidnapping & Abduction of Women & Grils,3830,2013,,,
Total (State),Kidnapping & Abduction of Women & Grils,48044,2013,,,
A&N Islands,Kidnapping & Abduction of Women & Grils,12,2013,,,
Chandigarh,Kidnapping & Abduction of Women & Grils,174,2013,,,
D&N Haveli,Kidnapping & Abduction of Women & Grils,11,2013,,,
Daman & Diu,Kidnapping & Abduction of Women & Grils,6,2013,,,
Delhi UT,Kidnapping & Abduction of Women & Grils,3609,2013,,,
Lakshadweep,Kidnapping & Abduction of Women & Grils,0,2013,,,
Puducherry,Kidnapping & Abduction of Women & Grils,25,2013,,,
Total (UTs),Kidnapping & Abduction of Women & Grils,3837,2013,,,
Total (All-India),Kidnapping & Abduction of Women & Grils,51881,2013,,,
Andhra Pradesh,Rape,1635,2013,,,
Arunachal Pradesh,Rape,75,2013,,,
Assam,Rape,1937,2013,,,
Bihar,Rape,1128,2013,,,
Chhattisgarh,Rape,1380,2013,,,
Goa,Rape,86,2013,,,
Gujarat,Rape,732,2013,,,
Haryana,Rape,971,2013,,,
Himachal Pradesh,Rape,250,2013,,,
Jammu & Kashmir,Rape,378,2013,,,
Jharkhand,Rape,1204,2013,,,
Karnataka,Rape,1030,2013,,,
Kerala,Rape,1221,2013,,,
Madhya Pradesh,Rape,4335,2013,,,
Maharashtra,Rape,3063,2013,,,
Manipur,Rape,72,2013,,,
Meghalaya,Rape,183,2013,,,
Mizoram,Rape,89,2013,,,
Nagaland,Rape,31,2013,,,
Odisha,Rape,1832,2013,,,
Punjab,Rape,888,2013,,,
Rajasthan,Rape,3285,2013,,,
Sikkim,Rape,43,2013,,,
Tamil Nadu,Rape,923,2013,,,
Tripura,Rape,233,2013,,,
Uttar Pradesh,Rape,3050,2013,,,
Uttarakhand,Rape,228,2013,,,
West Bengal,Rape,1685,2013,,,
Total (State),Rape,31967,2013,,,
A&N Islands,Rape,27,2013,,,
Chandigarh,Rape,45,2013,,,
D&N Haveli,Rape,5,2013,,,
Daman & Diu,Rape,8,2013,,,
Delhi UT,Rape,1636,2013,,,
Lakshadweep,Rape,2,2013,,,
Puducherry,Rape,17,2013,,,
Total (UTs),Rape,1740,2013,,,
Total (All-India),Rape,33707,2013,,,
Andhra Pradesh,1 - Rape (Section 376 IPC),961,2014,,,
Andhra Pradesh,1.1 - Custodial Rape,0,2014,,,
Andhra Pradesh,1.1.1 - Custodial_Gang Rape,0,2014,,,
Andhra Pradesh,1.1.2 - Custodial_Other Rape,0,2014,,,
Andhra Pradesh,1.2 - Rape other than Custodial,961,2014,,,
Andhra Pradesh,1.2.1 - Rape_Gang Rape,14,2014,,,
Andhra Pradesh,1.2.2 - Rape_Others,947,2014,,,
Andhra Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),165,2014,,,
Andhra Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",721,2014,,,
Andhra Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,180,2014,,,
Andhra Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,1,2014,,,
Andhra Pradesh,3.3 - Kidnapping for Ransom Section 364A,3,2014,,,
Andhra Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,274,2014,,,
Andhra Pradesh,3.5 - Kidnapping & Abduction of Women-Other,263,2014,,,
Andhra Pradesh,4 - Dowry Deaths (Section 304-B IPC),215,2014,,,
Andhra Pradesh,5.1 - Sexual Harassment,1072,2014,,,
Andhra Pradesh,5.2 - Assault on women with intent to Disrobe,334,2014,,,
Andhra Pradesh,5.3 - Voyeurism,71,2014,,,
Andhra Pradesh,5.4 - Stalking,504,2014,,,
Andhra Pradesh,5.5 - Others,2566,2014,,,
Andhra Pradesh,6.1 - At Office premises,3,2014,,,
Andhra Pradesh,6.2 - Other places related to work,84,2014,,,
Andhra Pradesh,6.3 - In Public Transport system,65,2014,,,
Andhra Pradesh,6.4 - in Other Places,2497,2014,,,
Andhra Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),6362,2014,,,
Andhra Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),0,2014,,,
Andhra Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,217,2014,,,
Andhra Pradesh,"10 - Dowry Prohibition Act, 1961",468,2014,,,
Andhra Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",3,2014,,,
Andhra Pradesh,12 - Commission of Sati Prevention Act 1987,0,2014,,,
Andhra Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",0,2014,,,
Andhra Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),204,2014,,,
Andhra Pradesh,14.1 - Under ITP Section 5,23,2014,,,
Andhra Pradesh,14.2 - Under ITP Section 6,0,2014,,,
Andhra Pradesh,14.3 - Under ITP Section 7,0,2014,,,
Andhra Pradesh,14.4 - Under ITP Section 8,2,2014,,,
Andhra Pradesh,14.5 - Other Sections under ITP Act,179,2014,,,
Arunachal Pradesh,1 - Rape (Section 376 IPC),83,2014,,,
Arunachal Pradesh,1.1 - Custodial Rape,4,2014,,,
Arunachal Pradesh,1.1.1 - Custodial_Gang Rape,0,2014,,,
Arunachal Pradesh,1.1.2 - Custodial_Other Rape,4,2014,,,
Arunachal Pradesh,1.2 - Rape other than Custodial,79,2014,,,
Arunachal Pradesh,1.2.1 - Rape_Gang Rape,5,2014,,,
Arunachal Pradesh,1.2.2 - Rape_Others,74,2014,,,
Arunachal Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),10,2014,,,
Arunachal Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",91,2014,,,
Arunachal Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,25,2014,,,
Arunachal Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,1,2014,,,
Arunachal Pradesh,3.3 - Kidnapping for Ransom Section 364A,1,2014,,,
Arunachal Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,20,2014,,,
Arunachal Pradesh,3.5 - Kidnapping & Abduction of Women-Other,44,2014,,,
Arunachal Pradesh,4 - Dowry Deaths (Section 304-B IPC),1,2014,,,
