STATES/Uts,CRIME TYPE,CASES,YEAR,,,
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1,2003,,,
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2003,,,
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1043,2003,,,
Andhra Pradesh,RAPE,1016,2004,,,
Arunachal Pradesh,RAPE,42,2004,,,
Assam,RAPE,1171,2004,,,
Bihar,RAPE,1390,2004,,,
Chhattisgarh,RAPE,969,2004,,,
Goa,RAPE,37,2004,,,
Gujarat,RAPE,339,2004,,,
Haryana,RAPE,386,2004,,,
Himachal Pradesh,RAPE,153,2004,,,
Jammu & Kashmir,RAPE,218,2004,,,
Jharkhand,RAPE,797,2004,,,
Karnataka,RAPE,291,2004,,,
Kerala,RAPE,480,2004,,,
Madhya Pradesh,RAPE,2875,2004,,,
Maharashtra,RAPE,1388,2004,,,
Manipur,RAPE,31,2004,,,
Meghalaya,RAPE,54,2004,,,
Mizoram,RAPE,20,2004,,,
Nagaland,RAPE,18,2004,,,
Odisha,RAPE,770,2004,,,
Punjab,RAPE,390,2004,,,
Rajasthan,RAPE,1038,2004,,,
Sikkim,RAPE,3,2004,,,
Tamil Nadu,RAPE,618,2004,,,
Tripura,RAPE,160,2004,,,
Uttar Pradesh,RAPE,1397,2004,,,
Uttarakhand,RAPE,115,2004,,,
West Bengal,RAPE,1475,2004,,,
A&N Islands,RAPE,10,2004,,,
Chandigarh,RAPE,19,2004,,,
D&N Haveli,RAPE,7,2004,,,
Daman & Diu,RAPE,1,2004,,,
Delhi UT,RAPE,551,2004,,,
Lakshadweep,RAPE,0,2004,,,
Puducherry,RAPE,4,2004,,,
All India,RAPE,18233,2004,,,
Andhra Pradesh,RAPE,1030,2004,,,
Arunachal Pradesh,RAPE,41,2004,,,
Assam,RAPE,1552,2004,,,
Bihar,RAPE,997,2004,,,
Chhattisgarh,RAPE,174,2004,,,
Goa,RAPE,10,2004,,,
Gujarat,RAPE,905,2004,,,
Haryana,RAPE,292,2004,,,
Himachal Pradesh,RAPE,99,2004,,,
Jammu & Kashmir,RAPE,632,2004,,,
Jharkhand,RAPE,178,2004,,,
Karnataka,RAPE,286,2004,,,
Kerala,RAPE,142,2004,,,
Madhya Pradesh,RAPE,584,2004,,,
Maharashtra,RAPE,787,2004,,,
Manipur,RAPE,71,2004,,,
Meghalaya,RAPE,18,2004,,,
Mizoram,RAPE,0,2004,,,
Nagaland,RAPE,4,2004,,,
Odisha,RAPE,423,2004,,,
Punjab,RAPE,311,2004,,,
Rajasthan,KIDNAPPING & ABDUCTION,1881,2004,,,
Sikkim,KIDNAPPING & ABDUCTION,4,2004,,,
Tamil Nadu,KIDNAPPING & ABDUCTION,692,2004,,,
Tripura,KIDNAPPING & ABDUCTION,54,2004,,,
Uttar Pradesh,KIDNAPPING & ABDUCTION,2324,2004,,,
Uttarakhand,KIDNAPPING & ABDUCTION,127,2004,,,
West Bengal,KIDNAPPING & ABDUCTION,1018,2004,,,
A&N Islands,KIDNAPPING & ABDUCTION,3,2004,,,
Chandigarh,KIDNAPPING & ABDUCTION,43,2004,,,
D&N Haveli,KIDNAPPING & ABDUCTION,7,2004,,,
Daman & Diu,KIDNAPPING & ABDUCTION,0,2004,,,
Delhi UT,KIDNAPPING & ABDUCTION,881,2004,,,
Lakshadweep,KIDNAPPING & ABDUCTION,0,2004,,,
Puducherry,KIDNAPPING & ABDUCTION,8,2004,,,
ALL INDIA K&A,KIDNAPPING & ABDUCTION,15578,2004,,,
Andhra Pradesh,DOWRY DEATH,512,2004,,,
Arunachal Pradesh,DOWRY DEATH,0,2004,,,
Assam,DOWRY DEATH,74,2004,,,
Bihar,DOWRY DEATH,1029,2004,,,
Chhattisgarh,DOWRY DEATH,71,2004,,,
Goa,DOWRY DEATH,2,2004,,,
Gujarat,DOWRY DEATH,58,2004,,,
Haryana,DOWRY DEATH,251,2004,,,
Himachal Pradesh,DOWRY DEATH,8,2004,,,
Jammu & Kashmir,DOWRY DEATH,9,2004,,,
Jharkhand,DOWRY DEATH,275,2004,,,
Karnataka,DOWRY DEATH,259,2004,,,
Kerala,DOWRY DEATH,31,2004,,,
Madhya Pradesh,DOWRY DEATH,751,2004,,,
Maharashtra,DOWRY DEATH,314,2004,,,
Manipur,DOWRY DEATH,0,2004,,,
Meghalaya,DOWRY DEATH,2,2004,,,
Mizoram,DOWRY DEATH,0,2004,,,
Nagaland,DOWRY DEATH,0,2004,,,
Odisha,DOWRY DEATH,319,2004,,,
Punjab,DOWRY DEATH,113,2004,,,
Rajasthan,DOWRY DEATH,379,2004,,,
Sikkim,DOWRY DEATH,0,2004,,,
Tamil Nadu,DOWRY DEATH,225,2004,,,
Tripura,DOWRY DEATH,20,2004,,,
Uttar Pradesh,DOWRY DEATH,1708,2004,,,
Uttarakhand,DOWRY DEATH,82,2004,,,
West Bengal,DOWRY DEATH,396,2004,,,
A&N Islands,DOWRY DEATH,0,2004,,,
Chandigarh,DOWRY DEATH,6,2004,,,
D&N Haveli,DOWRY DEATH,0,2004,,,
Daman & Diu,DOWRY DEATH,0,2004,,,
Delhi UT,DOWRY DEATH,126,2004,,,
Lakshadweep,DOWRY DEATH,0,2004,,,
Puducherry,DOWRY DEATH,6,2004,,,
ALL INDIA ,DOWRY DEATH,7026,2004,,,
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3817,2004,,,
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,61,2004,,,
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,883,2004,,,
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,704,2004,,,
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1661,2004,,,
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23,2004,,,
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,757,2004,,,
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,403,2004,,,
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,284,2004,,,
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,990,2004,,,
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,411,2004,,,
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1435,2004,,,
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2260,2004,,,
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6690,2004,,,
Maharashtra,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2831,2004,,,
Manipur,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30,2004,,,
Meghalaya,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34,2004,,,
Mizoram,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,66,2004,,,
Nagaland,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3,2004,,,
Odisha,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1811,2004,,,
Punjab,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,261,2004,,,
Rajasthan,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2825,2004,,,
Sikkim,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,40,2004,,,
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1861,2004,,,
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,134,2004,,,
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1900,2004,,,
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,143,2004,,,
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1566,2004,,,
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,2004,,,
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,20,2004,,,
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,5,2004,,,
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1,2004,,,
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,601,2004,,,
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,2004,,,
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,50,2004,,,
All India,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34567,2004,,,
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2310,2004,,,
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Assam,INSULT TO THE MODESTY OF WOMEN,11,2004,,,
Bihar,INSULT TO THE MODESTY OF WOMEN,13,2004,,,
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,131,2004,,,
Goa,INSULT TO THE MODESTY OF WOMEN,15,2004,,,
Gujarat,INSULT TO THE MODESTY OF WOMEN,164,2004,,,
Haryana,INSULT TO THE MODESTY OF WOMEN,850,2004,,,
Himachal Pradesh,INSULT TO THE MODESTY OF WOMEN,16,2004,,,
Jammu & Kashmir,INSULT TO THE MODESTY OF WOMEN,264,2004,,,
Jharkhand,INSULT TO THE MODESTY OF WOMEN,3,2004,,,
Karnataka,INSULT TO THE MODESTY OF WOMEN,57,2004,,,
Kerala,INSULT TO THE MODESTY OF WOMEN,133,2004,,,
Madhya Pradesh,INSULT TO THE MODESTY OF WOMEN,804,2004,,,
Maharashtra,INSULT TO THE MODESTY OF WOMEN,862,2004,,,
Manipur,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Meghalaya,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Mizoram,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Nagaland,INSULT TO THE MODESTY OF WOMEN,1,2004,,,
Odisha,INSULT TO THE MODESTY OF WOMEN,170,2004,,,
Punjab,INSULT TO THE MODESTY OF WOMEN,38,2004,,,
Rajasthan,INSULT TO THE MODESTY OF WOMEN,41,2004,,,
Sikkim,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Tamil Nadu,INSULT TO THE MODESTY OF WOMEN,1081,2004,,,
Tripura,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Uttar Pradesh,INSULT TO THE MODESTY OF WOMEN,2682,2004,,,
Uttarakhand,INSULT TO THE MODESTY OF WOMEN,110,2004,,,
West Bengal,INSULT TO THE MODESTY OF WOMEN,64,2004,,,
A&N Islands,INSULT TO THE MODESTY OF WOMEN,3,2004,,,
Chandigarh,INSULT TO THE MODESTY OF WOMEN,18,2004,,,
D&N Haveli,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Daman & Diu,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Delhi UT,INSULT TO THE MODESTY OF WOMEN,130,2004,,,
Lakshadweep,INSULT TO THE MODESTY OF WOMEN,0,2004,,,
Puducherry,INSULT TO THE MODESTY OF WOMEN,30,2004,,,
All India,INSULT TO THE MODESTY OF WOMEN,10001,2004,,,
Andhra Pradesh,CRUELTY BY HUSBAND OR RELATIVES,8388,2004,,,
Arunachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,4,2004,,,
Assam,CRUELTY BY HUSBAND OR RELATIVES,1945,2004,,,
Bihar,CRUELTY BY HUSBAND OR RELATIVES,2679,2004,,,
Chhattisgarh,CRUELTY BY HUSBAND OR RELATIVES,741,2004,,,
Goa,CRUELTY BY HUSBAND OR RELATIVES,17,2004,,,
Gujarat,CRUELTY BY HUSBAND OR RELATIVES,3955,2004,,,
Haryana,CRUELTY BY HUSBAND OR RELATIVES,2026,2004,,,
Himachal Pradesh,CRUELTY BY HUSBAND OR RELATIVES,252,2004,,,
Jammu & Kashmir,CRUELTY BY HUSBAND OR RELATIVES,82,2004,,,
Jharkhand,CRUELTY BY HUSBAND OR RELATIVES,588,2004,,,
Karnataka,CRUELTY BY HUSBAND OR RELATIVES,1588,2004,,,
Kerala,CRUELTY BY HUSBAND OR RELATIVES,3222,2004,,,
Madhya Pradesh,CRUELTY BY HUSBAND OR RELATIVES,3436,2004,,,
Maharashtra,CRUELTY BY HUSBAND OR RELATIVES,5646,2004,,,
Manipur,CRUELTY BY HUSBAND OR RELATIVES,2,2004,,,
Meghalaya,CRUELTY BY HUSBAND OR RELATIVES,5,2004,,,
Mizoram,CRUELTY BY HUSBAND OR RELATIVES,0,2004,,,
Nagaland,CRUELTY BY HUSBAND OR RELATIVES,0,2004,,,
Odisha,CRUELTY BY HUSBAND OR RELATIVES,1192,2004,,,
Punjab,CRUELTY BY HUSBAND OR RELATIVES,801,2004,,,
Rajasthan,CRUELTY BY HUSBAND OR RELATIVES,6781,2004,,,
Sikkim,CRUELTY BY HUSBAND OR RELATIVES,1,2004,,,
Tamil Nadu,CRUELTY BY HUSBAND OR RELATIVES,1437,2004,,,
Tripura,CRUELTY BY HUSBAND OR RELATIVES,302,2004,,,
Uttar Pradesh,CRUELTY BY HUSBAND OR RELATIVES,4950,2004,,,
Uttarakhand,CRUELTY BY HUSBAND OR RELATIVES,405,2004,,,
West Bengal,CRUELTY BY HUSBAND OR RELATIVES,6334,2004,,,
A&N Islands,CRUELTY BY HUSBAND OR RELATIVES,5,2004,,,
Chandigarh,CRUELTY BY HUSBAND OR RELATIVES,73,2004,,,
D&N Haveli,CRUELTY BY HUSBAND OR RELATIVES,3,2004,,,
Daman & Diu,CRUELTY BY HUSBAND OR RELATIVES,4,2004,,,
Delhi UT,CRUELTY BY HUSBAND OR RELATIVES,1254,2004,,,
Lakshadweep,CRUELTY BY HUSBAND OR RELATIVES,1,2004,,,
Puducherry,CRUELTY BY HUSBAND OR RELATIVES,2,2004,,,
All India,CRUELTY BY HUSBAND OR RELATIVES,58121,2004,,,
Andhra Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,405,2004,,,
Arunachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Assam,IMMORAL TRAFFIC(PREVENTION)ACT,28,2004,,,
Bihar,IMMORAL TRAFFIC(PREVENTION)ACT,24,2004,,,
Chhattisgarh,IMMORAL TRAFFIC(PREVENTION)ACT,9,2004,,,
Goa,IMMORAL TRAFFIC(PREVENTION)ACT,28,2004,,,
Gujarat,IMMORAL TRAFFIC(PREVENTION)ACT,33,2004,,,
Haryana,IMMORAL TRAFFIC(PREVENTION)ACT,62,2004,,,
Himachal Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,4,2004,,,
Jammu & Kashmir,IMMORAL TRAFFIC(PREVENTION)ACT,11,2004,,,
Jharkhand,IMMORAL TRAFFIC(PREVENTION)ACT,3,2004,,,
Karnataka,IMMORAL TRAFFIC(PREVENTION)ACT,1170,2004,,,
Kerala,IMMORAL TRAFFIC(PREVENTION)ACT,168,2004,,,
Madhya Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,23,2004,,,
Maharashtra,IMMORAL TRAFFIC(PREVENTION)ACT,309,2004,,,
Manipur,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Meghalaya,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Mizoram,IMMORAL TRAFFIC(PREVENTION)ACT,5,2004,,,
Nagaland,IMMORAL TRAFFIC(PREVENTION)ACT,4,2004,,,
Odisha,IMMORAL TRAFFIC(PREVENTION)ACT,22,2004,,,
Punjab,IMMORAL TRAFFIC(PREVENTION)ACT,32,2004,,,
Rajasthan,IMMORAL TRAFFIC(PREVENTION)ACT,79,2004,,,
Sikkim,IMMORAL TRAFFIC(PREVENTION)ACT,1,2004,,,
Tamil Nadu,IMMORAL TRAFFIC(PREVENTION)ACT,3022,2004,,,
Tripura,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Uttar Pradesh,IMMORAL TRAFFIC(PREVENTION)ACT,44,2004,,,
Uttarakhand,IMMORAL TRAFFIC(PREVENTION)ACT,4,2004,,,
West Bengal,IMMORAL TRAFFIC(PREVENTION)ACT,121,2004,,,
A&N Islands,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Chandigarh,IMMORAL TRAFFIC(PREVENTION)ACT,9,2004,,,
D&N Haveli,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Daman & Diu,IMMORAL TRAFFIC(PREVENTION)ACT,1,2004,,,
Delhi UT,IMMORAL TRAFFIC(PREVENTION)ACT,123,2004,,,
Lakshadweep,IMMORAL TRAFFIC(PREVENTION)ACT,0,2004,,,
Puducherry,IMMORAL TRAFFIC(PREVENTION)ACT,4,2004,,,
All India,IMMORAL TRAFFIC(PREVENTION)ACT,5748,2004,,,
Andhra Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1102,2004,,,
Arunachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Assam,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Bihar,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Chhattisgarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Goa,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Gujarat,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Haryana,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Himachal Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2004,,,
Jammu & Kashmir,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Jharkhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Karnataka,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Kerala,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,45,2004,,,
Madhya Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Maharashtra,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,11,2004,,,
Manipur,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Meghalaya,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Mizoram,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Nagaland,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Odisha,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Punjab,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,2,2004,,,
Rajasthan,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,89,2004,,,
Sikkim,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Tamil Nadu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,102,2004,,,
Tripura,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Uttar Pradesh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Uttarakhand,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
West Bengal,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,25,2004,,,
A&N Islands,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Chandigarh,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
D&N Haveli,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Daman & Diu,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Delhi UT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Lakshadweep,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
Puducherry,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,0,2004,,,
All India,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,1378,2004,,,
Andhra Pradesh,RAPE,935,2005,,,
Arunachal Pradesh,RAPE,35,2005,,,
Assam,RAPE,1238,2005,,,
Bihar,RAPE,1147,2005,,,
Chhattisgarh,RAPE,990,2005,,,
Goa,RAPE,20,2005,,,
Gujarat,RAPE,324,2005,,,
Haryana,RAPE,461,2005,,,
Himachal Pradesh,RAPE,141,2005,,,
Jammu & Kashmir,RAPE,201,2005,,,
Jharkhand,RAPE,753,2005,,,
Karnataka,RAPE,343,2005,,,
Kerala,RAPE,478,2005,,,
Madhya Pradesh,RAPE,2921,2005,,,
Maharashtra,RAPE,1545,2005,,,
Manipur,RAPE,25,2005,,,
Meghalaya,RAPE,63,2005,,,
Mizoram,RAPE,37,2005,,,
Nagaland,RAPE,17,2005,,,
Odisha,RAPE,799,2005,,,
Punjab,RAPE,398,2005,,,
Rajasthan,RAPE,993,2005,,,
Sikkim,RAPE,18,2005,,,
Tamil Nadu,RAPE,571,2005,,,
Tripura,RAPE,162,2005,,,
Uttar Pradesh,RAPE,1217,2005,,,
Uttarakhand,RAPE,133,2005,,,
West Bengal,RAPE,1686,2005,,,
A&N Islands,RAPE,4,2005,,,
Chandigarh,RAPE,33,2005,,,
D&N Haveli,RAPE,5,2005,,,
Daman & Diu,RAPE,2,2005,,,
Delhi UT,RAPE,658,2005,,,
Lakshadweep,RAPE,0,2005,,,
Puducherry,RAPE,6,2005,,,
All India,RAPE,18359,2005,,,
Andhra Pradesh,RAPE,995,2005,,,
Arunachal Pradesh,RAPE,39,2005,,,
Assam,RAPE,1456,2005,,,
Bihar,RAPE,929,2005,,,
Chhattisgarh,RAPE,184,2005,,,
Goa,RAPE,12,2005,,,
Gujarat,RAPE,916,2005,,,
Haryana,RAPE,344,2005,,,
Himachal Pradesh,RAPE,102,2005,,,
Jammu & Kashmir,RAPE,658,2005,,,
Jharkhand,RAPE,283,2005,,,
Karnataka,RAPE,312,2005,,,
Kerala,RAPE,129,2005,,,
Madhya Pradesh,RAPE,604,2005,,,
Maharashtra,RAPE,851,2005,,,
Manipur,RAPE,69,2005,,,
Meghalaya,RAPE,19,2005,,,
Mizoram,RAPE,0,2005,,,
Nagaland,RAPE,9,2005,,,
Odisha,RAPE,547,2005,,,
Punjab,RAPE,329,2005,,,
Rajasthan,KIDNAPPING & ABDUCTION,1549,2005,,,
Sikkim,KIDNAPPING & ABDUCTION,2,2005,,,
Tamil Nadu,KIDNAPPING & ABDUCTION,783,2005,,,
Tripura,KIDNAPPING & ABDUCTION,43,2005,,,
Uttar Pradesh,KIDNAPPING & ABDUCTION,2256,2005,,,
Uttarakhand,KIDNAPPING & ABDUCTION,125,2005,,,
West Bengal,KIDNAPPING & ABDUCTION,1039,2005,,,
A&N Islands,KIDNAPPING & ABDUCTION,1,2005,,,
Chandigarh,KIDNAPPING & ABDUCTION,45,2005,,,
D&N Haveli,KIDNAPPING & ABDUCTION,9,2005,,,
Daman & Diu,KIDNAPPING & ABDUCTION,2,2005,,,
Delhi UT,KIDNAPPING & ABDUCTION,1106,2005,,,
Lakshadweep,KIDNAPPING & ABDUCTION,0,2005,,,
Puducherry,KIDNAPPING & ABDUCTION,3,2005,,,
ALL INDIA K&A,KIDNAPPING & ABDUCTION,15750,2005,,,
Andhra Pradesh,DOWRY DEATH,443,2005,,,
Arunachal Pradesh,DOWRY DEATH,0,2005,,,
Assam,DOWRY DEATH,99,2005,,,
Bihar,DOWRY DEATH,1014,2005,,,
Chhattisgarh,DOWRY DEATH,100,2005,,,
Goa,DOWRY DEATH,2,2005,,,
Gujarat,DOWRY DEATH,48,2005,,,
Haryana,DOWRY DEATH,212,2005,,,
Himachal Pradesh,DOWRY DEATH,2,2005,,,
Jammu & Kashmir,DOWRY DEATH,5,2005,,,
Jharkhand,DOWRY DEATH,257,2005,,,
Karnataka,DOWRY DEATH,261,2005,,,
Kerala,DOWRY DEATH,21,2005,,,
Madhya Pradesh,DOWRY DEATH,739,2005,,,
Maharashtra,DOWRY DEATH,341,2005,,,
Manipur,DOWRY DEATH,0,2005,,,
Meghalaya,DOWRY DEATH,1,2005,,,
Mizoram,DOWRY DEATH,4,2005,,,
Nagaland,DOWRY DEATH,0,2005,,,
Odisha,DOWRY DEATH,334,2005,,,
Punjab,DOWRY DEATH,99,2005,,,
Rajasthan,DOWRY DEATH,361,2005,,,
Sikkim,DOWRY DEATH,0,2005,,,
Tamil Nadu,DOWRY DEATH,215,2005,,,
Tripura,DOWRY DEATH,34,2005,,,
Uttar Pradesh,DOWRY DEATH,1564,2005,,,
Uttarakhand,DOWRY DEATH,63,2005,,,
West Bengal,DOWRY DEATH,446,2005,,,
A&N Islands,DOWRY DEATH,0,2005,,,
Chandigarh,DOWRY DEATH,3,2005,,,
D&N Haveli,DOWRY DEATH,0,2005,,,
Daman & Diu,DOWRY DEATH,1,2005,,,
Delhi UT,DOWRY DEATH,114,2005,,,
Lakshadweep,DOWRY DEATH,0,2005,,,
Puducherry,DOWRY DEATH,4,2005,,,
ALL INDIA ,DOWRY DEATH,6787,2005,,,
Andhra Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3595,2005,,,
Arunachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,67,2005,,,
Assam,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,899,2005,,,
Bihar,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,451,2005,,,
Chhattisgarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1450,2005,,,
Goa,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,30,2005,,,
Gujarat,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,802,2005,,,
Haryana,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,380,2005,,,
Himachal Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,286,2005,,,
Jammu & Kashmir,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,830,2005,,,
Jharkhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,293,2005,,,
Karnataka,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1585,2005,,,
Kerala,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2339,2005,,,
Madhya Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6426,2005,,,
